"exam","subject","chapter","unit","topic","difficulty","type","marks","negativeMarks","text","textHindi","optionA","optionAHindi","optionB","optionBHindi","optionC","optionCHindi","optionD","optionDHindi","correctOption","explanation","explanationHindi"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Hard","MCQ","2","0.5","Detailed dynamic reports are preparing by the analysis team this week.","इस सप्ताह विश्लेषण टीम द्वारा विस्तृत गतिशील रिपोर्ट तैयार की जा रही है।","are being prepared","","have prepared","","is preparing","","No improvement","","A","The reports receive the action rather than perform it. Therefore, the sentence requires the Present Continuous Passive Voice form: ""are being prepared.""","रिपोर्टें कार्रवाई करने के बजाय कार्रवाई प्राप्त करती हैं। इसलिए, वाक्य को प्रेजेंट कंटीन्यूअस पैसिव वॉइस फॉर्म की आवश्यकता है: ""तैयार किए जा रहे हैं।"""
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Hard","MCQ","2","0.5","He didn't know the answer, did he?","उसे उत्तर नहीं पता था क्या?","didn't he?","","does he?","","was he?","","No improvement","","D","A negative statement takes a positive question tag. Since the sentence is negative (""didn't know""), the correct tag is ""did he.""","एक नकारात्मक कथन एक सकारात्मक प्रश्न टैग लेता है। चूँकि वाक्य नकारात्मक है (""पता नहीं""), सही टैग ""क्या उसने किया"" है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Hard","MCQ","2","0.5","Every man and every woman have the right to express their opinion.","हर पुरुष और हर महिला को अपनी राय व्यक्त करने का अधिकार है।","has","","are having","","have had","","No improvement","","A","When singular nouns are preceded by ""every"" and joined by ""and,"" they take a singular verb.","जब एकवचन संज्ञाओं के पहले ""हर"" आता है और ""और"" जुड़ता है, तो वे एकवचन क्रिया लेते हैं।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Hard","MCQ","2","0.5","It is high time we start saving money for our future expenses.","अब समय आ गया है कि हम अपने भविष्य के खर्चों के लिए पैसे बचाना शुरू करें।","started","","will start","","have started","","No improvement","","A","Expressions such as ""It is high time"" are followed by a verb in the past subjunctive form (V2).","""यह सही समय है"" जैसे भावों के बाद भूतकाल के उपवाक्य रूप (V2) में एक क्रिया आती है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Hard","MCQ","2","0.5","Although he studied thoroughly, but he failed to secure the top rank.","हालाँकि उन्होंने गहन अध्ययन किया, लेकिन वे शीर्ष रैंक हासिल करने में असफल रहे।","yet","","still","","and","","No improvement","","A","""Although"" and ""but"" should not be used together. ""Although"" may be followed by ""yet,"" or the sentence can simply continue without ""but.""","""यद्यपि"" और ""लेकिन"" का प्रयोग एक साथ नहीं किया जाना चाहिए। ""यद्यपि"" के बाद ""अभी तक"" लगाया जा सकता है, या वाक्य ""लेकिन"" के बिना भी जारी रह सकता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Hard","MCQ","2","0.5","If he had informed me earlier, I will have picked him up from the airport.","अगर उसने मुझे पहले बताया होता तो मैं उसे एयरपोर्ट से ले लेता.","would have","","will be","","had","","No improvement","","A","This is a third conditional sentence. If the ""if-clause"" contains ""had + V3,"" the main clause should take ""would have + V3.""","यह तीसरा सशर्त वाक्य है. यदि ""यदि-खंड"" में ""था + V3"" है, तो मुख्य उपवाक्य में ""होगा + V3"" होना चाहिए।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Hard","MCQ","2","0.5","By this time next year, she will complete her post-graduation degree.","अगले साल इस समय तक वह अपनी पोस्ट-ग्रेजुएशन की डिग्री पूरी कर लेंगी।","will be completing","","will have completed","","completes","","No improvement","","B","The phrase ""By this time next year"" indicates that an action will be completed before a specific future time. Therefore, the Future Perfect Tense is required.","वाक्यांश ""अगले वर्ष इस समय तक"" इंगित करता है कि एक कार्य एक विशिष्ट भविष्य के समय से पहले पूरा हो जाएगा। इसलिए, भविष्य पूर्ण काल ​​की आवश्यकता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Hard","MCQ","2","0.5","I have seen him yesterday at the shopping mall but he didn't see me.","मैंने उसे कल शॉपिंग मॉल में देखा था लेकिन उसने मुझे नहीं देखा।","saw","","had seen","","am seeing","","No improvement","","A","""Yesterday"" is a definite past time marker, so the Simple Past Tense should be used instead of the Present Perfect Tense.","""कल"" एक निश्चित भूतकाल का सूचक है, इसलिए वर्तमान पूर्ण काल ​​के स्थान पर सरल भूत काल का उपयोग किया जाना चाहिए।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Hard","MCQ","2","0.5","Suppose if you are selected for the post, which city would you prefer?","मान लीजिए यदि आपको इस पद के लिए चुना जाता है, तो आप कौन सा शहर पसंद करेंगे?","Supposing if","","If suppose","","If","","No improvement","","C","""Suppose"" and ""if"" convey the same meaning. Using both together creates redundancy.","""मान लीजिए"" और ""यदि"" एक ही अर्थ बताते हैं। दोनों का एक साथ उपयोग करने से अतिरेक उत्पन्न होता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The water in the river is flowing over the danger mark since last evening.","कल शाम से ही नदी का पानी खतरे के निशान से ऊपर बह रहा है.","flows","","has been flowing","","was flowing","","No improvement","","B","The phrase ""since last evening"" indicates an action that began in the past and continues into the present, requiring the Present Perfect Continuous Tense.","वाक्यांश ""पिछली शाम से"" एक ऐसी कार्रवाई को इंगित करता है जो अतीत में शुरू हुई और वर्तमान में जारी है, जिसके लिए वर्तमान पूर्ण निरंतर काल की आवश्यकता होती है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","He has had his lunch an hour ago.","उसने एक घंटे पहले ही दोपहर का खाना खा लिया है.","had","","has","","have had","","No improvement","","A","""An hour ago"" refers to a definite time in the past, so the Simple Past Tense should be used instead of the Present Perfect Tense.","""एक घंटा पहले"" अतीत में एक निश्चित समय को संदर्भित करता है, इसलिए वर्तमान पूर्ण काल ​​के बजाय सरल अतीत काल का उपयोग किया जाना चाहिए।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","I wish I am the Prime Minister of this country to solve unemployment.","काश मैं बेरोजगारी दूर करने वाला इस देश का प्रधानमंत्री होता.","was","","have been","","were","","No improvement","","C","Sentences beginning with ""I wish"" express unreal or imaginary situations, and ""were"" is used for all subjects in such cases.","""काश"" से शुरू होने वाले वाक्य अवास्तविक या काल्पनिक स्थितियों को व्यक्त करते हैं, और ऐसे मामलों में सभी विषयों के लिए ""थे"" का उपयोग किया जाता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","She is having a luxurious car and a big house in Delhi.","उनके पास दिल्ली में एक शानदार कार और एक बड़ा घर है।","has","","owns having","","is possessing","","No improvement","","A","""Have"" is a stative verb when showing possession and is generally not used in continuous forms.","कब्ज़ा दिखाते समय ""है"" एक मूल क्रिया है और आम तौर पर निरंतर रूपों में इसका उपयोग नहीं किया जाता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","No sooner did the thief see the police then he took to his heels.","जैसे ही चोर ने पुलिस को देखा तो वह भाग खड़ा हुआ।","when","","than","","before","","No improvement","","B","The correlative conjunction ""No sooner"" is always followed by ""than.""","सहसंबद्ध संयोजन ""अभी नहीं"" के बाद हमेशा ""से"" आता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","If I will win the lottery, I will buy a new house for my parents.","अगर मैं लॉटरी जीतूंगा तो अपने माता-पिता के लिए एक नया घर खरीदूंगा।","win","","won","","would win","","No improvement","","A","In the First Conditional, the if-clause takes the Simple Present Tense, while the main clause takes the Simple Future Tense.","प्रथम सशर्त में, यदि-खंड सरल वर्तमान काल लेता है, जबकि मुख्य खंड सरल भविष्य काल लेता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The train left the station before we arrived there.","हमारे वहां पहुंचने से पहले ट्रेन स्टेशन से निकल गई।","had left","","has left","","was leaving","","No improvement","","A","When two actions occurred in the past, the action completed earlier takes the Past Perfect Tense.","जब दो क्रियाएं अतीत में हुईं, तो पहले पूरी की गई क्रिया पास्ट परफेक्ट टेंस लेती है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","I am looking forward to receive your reply soon.","मैं शीघ्र ही आपका उत्तर पाने की आशा कर रहा हूँ।","receiving","","received","","be receiving","","No improvement","","A","""Look forward to"" is followed by a gerund because ""to"" functions as a preposition in this expression.","""आगे देखो"" के बाद गेरुंड आता है क्योंकि ""टू"" इस अभिव्यक्ति में पूर्वसर्ग के रूप में कार्य करता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Easy","MCQ","2","0.5","He is working in this company for the past ten years.","वह पिछले दस साल से इस कंपनी में काम कर रहे हैं।","works","","has been working","","was working","","No improvement","","B","The duration phrase ""for the past ten years"" requires the Present Perfect Continuous Tense.","अवधि वाक्यांश ""पिछले दस वर्षों से"" के लिए वर्तमान पूर्ण सतत काल की आवश्यकता होती है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Easy","MCQ","2","0.5","The custom has been hard to root out because it is centuries old.","इस प्रथा को जड़ से उखाड़ना कठिन है क्योंकि यह सदियों पुरानी है।","been hard to root up","","hard rooted out","","been deeply rooted","","No improvement","","D","""Root out"" is a phrasal verb meaning to eliminate something completely. The sentence is already correct.","""रूट आउट"" एक वाक्यांश क्रिया है जिसका अर्थ है किसी चीज़ को पूरी तरह से ख़त्म करना। वाक्य पहले से ही सही है."
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Easy","MCQ","2","0.5","It is raining heavily since morning, so the match was called off.","सुबह से ही भारी बारिश हो रही है, इसलिए मैच रद्द कर दिया गया.","had been raining","","has been raining","","rained","","No improvement","","A","Since the cancellation of the match is described in the past, the ongoing action before that point should be expressed in the Past Perfect Continuous Tense.","चूंकि मैच को रद्द करने का वर्णन अतीत में किया गया है, इसलिए उस बिंदु से पहले चल रही कार्रवाई को पास्ट परफेक्ट कंटीन्यूअस टेंस में व्यक्त किया जाना चाहिए।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Easy","MCQ","2","0.5","She told me that she will go to Mumbai the next day.","उसने मुझसे कहा कि वह अगले दिन मुंबई जायेगी.","would go","","shall go","","goes","","No improvement","","A","In indirect speech, if the reporting verb is in the past tense, ""will"" changes to ""would.""","अप्रत्यक्ष भाषण में, यदि रिपोर्टिंग क्रिया भूतकाल में है, तो ""इच्छा"" ""होगा"" में बदल जाती है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Easy","MCQ","2","0.5","He is discrete while discussing confidential matters with clients.","ग्राहकों के साथ गोपनीय मामलों पर चर्चा करते समय वह विवेकशील रहते हैं।","discreet","","desecrate","","discrete choice","","No improvement","","A","""Discrete"" means separate or distinct, whereas ""discreet"" means careful and tactful. The context requires ""discreet.""","""विवेकशील"" का अर्थ है अलग या अलग, जबकि ""विवेकशील"" का अर्थ है सावधान और चतुर। संदर्भ के लिए ""विवेकपूर्ण"" की आवश्यकता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","You had better to consult a doctor before the condition worsens.","बेहतर होगा कि स्थिति बिगड़ने से पहले आप डॉक्टर से सलाह लें।","consult","","consulting","","consulted","","No improvement","","A","Expressions such as ""had better,"" ""would rather,"" and ""let"" are followed by the bare infinitive without ""to.""","""बेहतर था,"" ""बल्कि,"" और ""चलो"" जैसे भावों के बाद ""टू"" के बिना नंगे इन्फिनिटिव आते हैं।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The dynamic leader succeeded to capture the attention of the youth.","गतिशील नेता युवाओं का ध्यान खींचने में सफल रहे।","succeeded in capturing","","succeeded to capturing","","succeeded for capture","","No improvement","","A","The verb ""succeed"" is followed by the preposition ""in,"" and the verb after a preposition takes the gerund form.","क्रिया ""सफल"" के बाद पूर्वसर्ग ""इन"" आता है और पूर्वसर्ग के बाद क्रिया गेरुंड रूप लेती है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","When we reached the stadium, the players already started warming up.","जब हम स्टेडियम पहुंचे तो खिलाड़ियों ने वॉर्मअप करना शुरू कर दिया था।","already started","","had already started","","have already started","","No improvement","","B","The action of warming up occurred before we reached the stadium, so the Past Perfect Tense is required.","हमारे स्टेडियम पहुंचने से पहले वार्मअप की क्रिया हुई, इसलिए पास्ट परफेक्ट टेंस की आवश्यकता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","My brother does not smoke, nor he drinks.","मेरा भाई न तो धूम्रपान करता है और न ही शराब पीता है।","nor does he drink","","neither he drinks","","nor he does drink","","No improvement","","A","Clauses beginning with ""nor"" require inversion, where the auxiliary verb comes before the subject.","""न"" से शुरू होने वाले उपवाक्यों में व्युत्क्रम की आवश्यकता होती है, जहां सहायक क्रिया विषय से पहले आती है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","If I was you, I would never accept such a demotion.","यदि मैं आप होता, तो ऐसी अवनति कभी स्वीकार नहीं करता।","am you","","had been you","","were you","","No improvement","","C","In hypothetical or unreal conditional sentences, ""were"" is used instead of ""was.""","काल्पनिक या अवास्तविक सशर्त वाक्यों में, ""था"" के स्थान पर ""थे"" का प्रयोग किया जाता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The scheme has lapsed due to lack of adequate government funding.","पर्याप्त सरकारी धन की कमी के कारण योजना समाप्त हो गई है।","is lapsed","","lapsed","","was lapsed","","No improvement","","D","The Present Perfect structure ""has lapsed"" is correctly used to indicate that the scheme has come to an end.","प्रेजेंट परफेक्ट संरचना ""व्यपगत हो गई है"" का उपयोग यह इंगित करने के लिए सही ढंग से किया जाता है कि योजना समाप्त हो गई है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","He denied to assist me in finishing the official paperwork.","उन्होंने आधिकारिक कागजी कार्रवाई पूरी करने में मेरी सहायता करने से इनकार कर दिया।","refused to assist","","denied assisting","","refused assisting","","No improvement","","A","""Refuse"" is followed by the infinitive form (to + verb) when declining a request. ""Deny"" is generally used to reject an accusation or admit not doing something.","किसी अनुरोध को अस्वीकार करते समय ""मना करें"" के बाद इनफिनिटिव फॉर्म (टू + वर्ब) आता है। ""इनकार"" का प्रयोग आम तौर पर किसी आरोप को अस्वीकार करने या कुछ न करने की बात स्वीकार करने के लिए किया जाता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","I lay in bed all day yesterday suffering from a severe migraine.","मैं गंभीर माइग्रेन से पीड़ित होकर कल पूरे दिन बिस्तर पर लेटा रहा।","lied","","laid","","lain","","No improvement","","D","The past tense of ""lie"" (to recline) is ""lay."" Since the sentence refers to yesterday, ""lay"" is correctly used.","""झूठ"" (झुकना) का भूतकाल ""लेटना"" है। चूँकि वाक्य कल को संदर्भित करता है, ""ले"" का सही उपयोग किया गया है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","Either the manager or his subordinates is responsible for this massive data breach.","इस बड़े पैमाने पर डेटा उल्लंघन के लिए या तो प्रबंधक या उसके अधीनस्थ जिम्मेदार हैं।","are","","was","","has been","","No improvement","","A","In structures using ""either...or"" and ""neither...nor,"" the verb agrees with the subject nearest to it. ""Subordinates"" is plural, so ""are"" is correct.","""या तो...या"" और ""न तो...न"" का उपयोग करने वाली संरचनाओं में क्रिया अपने निकटतम विषय से सहमत होती है। ""अधीनस्थ"" बहुवचन है, इसलिए ""हैं"" सही है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The furniture in this newly built apartment are made of high-quality teak wood.","इस नवनिर्मित अपार्टमेंट में फर्नीचर उच्च गुणवत्ता वाले सागौन की लकड़ी से बने हैं।","were","","is","","have been","","No improvement","","B","""Furniture"" is an uncountable noun and always takes a singular verb.","""फर्नीचर"" एक अनगिनत संज्ञा है और हमेशा एक विलक्षण क्रिया लेता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","One of the student from our batch has cleared the UPSC civil services exam.","हमारे बैच के एक छात्र ने यूपीएससी सिविल सेवा परीक्षा उत्तीर्ण की है।","students","","student's","","students'","","No improvement","","A","The correct structure is ""One of + plural noun + singular verb.""","सही संरचना है ""+बहुवचन संज्ञा+एकवचन क्रिया में से एक।"""
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","Between you and I, I don't think this strategy will yield any profit.","आपके और मेरे बीच, मुझे नहीं लगता कि इस रणनीति से कोई लाभ होगा।","me","","myself","","we","","No improvement","","A","Pronouns following prepositions must be in the objective case. Therefore, ""me"" is correct after ""between.""","पूर्वसर्गों के बाद आने वाले सर्वनाम वस्तुनिष्ठ मामले में होने चाहिए। इसलिए, ""बीच"" के बाद ""मैं"" सही है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","Two-thirds of the book were ruined by the leakage in the roof.","छत में रिसाव के कारण किताब का दो-तिहाई हिस्सा बर्बाद हो गया।","was","","are","","have been","","No improvement","","A","When a fraction refers to a singular or uncountable noun, it takes a singular verb.","जब भिन्न एकवचन या अगणनीय संज्ञा को संदर्भित करता है, तो यह एकवचन क्रिया लेता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","Each of the participants were given a certificate of appreciation.","प्रत्येक प्रतिभागी को प्रशंसा प्रमाण पत्र दिया गया।","was given","","are given","","have been given","","No improvement","","A","Expressions such as ""each of"" take singular verbs because they refer to individuals separately.","""प्रत्येक"" जैसे भाव एकवचन क्रिया लेते हैं क्योंकि वे व्यक्तियों को अलग-अलग संदर्भित करते हैं।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","This is the same laptop which my father gifted me on my birthday.","यह वही लैपटॉप है जो मेरे पिता ने मुझे मेरे जन्मदिन पर उपहार में दिया था।","who","","that","","whom","","No improvement","","B","After expressions such as ""the same,"" ""the only,"" and superlatives, the relative pronoun ""that"" is preferred.","""वही,"" ""एकमात्र,"" और अतिशयोक्ति जैसे भावों के बाद, सापेक्ष सर्वनाम ""वह"" को प्राथमिकता दी जाती है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","Scarcely he had finished his speech when the audience broke into applause.","उन्होंने अपना भाषण ख़त्म ही किया था कि दर्शक तालियाँ बजाने लगे।","he finished","","had he finished","","did he finished","","No improvement","","B","Negative adverbs placed at the beginning of a sentence require inversion of the auxiliary verb and subject.","वाक्य की शुरुआत में रखे गए नकारात्मक क्रियाविशेषणों के लिए सहायक क्रिया और विषय के व्युत्क्रम की आवश्यकता होती है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The sceneries of Kashmir are absolutely breathtaking and mesmerizing.","कश्मीर के दृश्य बिल्कुल मनमोहक और मंत्रमुग्ध कर देने वाले हैं।","scenery of Kashmir is","","sceneries of Kashmir is","","scenery of Kashmir are","","No improvement","","A","""Scenery"" is an uncountable noun and does not have a plural form. It takes a singular verb.","""दृश्यावली"" एक बेशुमार संज्ञा है और इसका कोई बहुवचन रूप नहीं है। यह एक विलक्षण क्रिया लेता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","He solved the mathematical puzzle more quicker than his classmate.","उन्होंने अपने सहपाठी की तुलना में गणितीय पहेली को अधिक तेजी से हल किया।","more quickly","","quicker","","much quickly","","No improvement","","A","The verb ""solved"" should be modified by an adverb. The correct comparative form is ""more quickly."" Double comparatives such as ""more quicker"" are incorrect.","क्रिया ""समाधान"" को क्रियाविशेषण द्वारा संशोधित किया जाना चाहिए। सही तुलनात्मक रूप ""अधिक तेज़ी से"" है। ""अधिक तेज़"" जैसी दोहरी तुलनाएँ ग़लत हैं।"
