exam,subject,chapter,unit,topic,difficulty,type,marks,negativeMarks,text,optionA,optionB,optionC,optionD,correctOption,explanation
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Hard,MCQ,2,0.5,"Although he studied thoroughly, but he failed to secure the top rank.",yet,still,and,No improvement,A,"""Although"" and ""but"" should not be used together. ""Although"" may be followed by ""yet,"" or the sentence can simply continue without ""but."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Hard,MCQ,2,0.5,"If he had informed me earlier, I will have picked him up from the airport.",would have,will be,had,No improvement,A,"This is a third conditional sentence. If the ""if-clause"" contains ""had + V3,"" the main clause should take ""would have + V3."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Hard,MCQ,2,0.5,"By this time next year, she will complete her post-graduation degree.",will be completing,will have completed,completes,No improvement,B,"The phrase ""By this time next year"" indicates that an action will be completed before a specific future time. Therefore, the Future Perfect Tense is required."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Hard,MCQ,2,0.5,I have seen him yesterday at the shopping mall but he didn't see me.,saw,had seen,am seeing,No improvement,A,"""Yesterday"" is a definite past time marker, so the Simple Past Tense should be used instead of the Present Perfect Tense."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Hard,MCQ,2,0.5,"Suppose if you are selected for the post, which city would you prefer?",Supposing if,If suppose,If,No improvement,C,"""Suppose"" and ""if"" convey the same meaning. Using both together creates redundancy."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The water in the river is flowing over the danger mark since last evening.,flows,has been flowing,was flowing,No improvement,B,"The phrase ""since last evening"" indicates an action that began in the past and continues into the present, requiring the Present Perfect Continuous Tense."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He has had his lunch an hour ago.,had,has,have had,No improvement,A,"""An hour ago"" refers to a definite time in the past, so the Simple Past Tense should be used instead of the Present Perfect Tense."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,I wish I am the Prime Minister of this country to solve unemployment.,was,have been,were,No improvement,C,"Sentences beginning with ""I wish"" express unreal or imaginary situations, and ""were"" is used for all subjects in such cases."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,She is having a luxurious car and a big house in Delhi.,has,owns having,is possessing,No improvement,A,"""Have"" is a stative verb when showing possession and is generally not used in continuous forms."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,No sooner did the thief see the police then he took to his heels.,when,than,before,No improvement,B,"The correlative conjunction ""No sooner"" is always followed by ""than."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"If I will win the lottery, I will buy a new house for my parents.",win,won,would win,No improvement,A,"In the First Conditional, the if-clause takes the Simple Present Tense, while the main clause takes the Simple Future Tense."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The train left the station before we arrived there.,had left,has left,was leaving,No improvement,A,"When two actions occurred in the past, the action completed earlier takes the Past Perfect Tense."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,I am looking forward to receive your reply soon.,receiving,received,be receiving,No improvement,A,"""Look forward to"" is followed by a gerund because ""to"" functions as a preposition in this expression."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Easy,MCQ,2,0.5,He is working in this company for the past ten years.,works,has been working,was working,No improvement,B,"The duration phrase ""for the past ten years"" requires the Present Perfect Continuous Tense."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Easy,MCQ,2,0.5,The custom has been hard to root out because it is centuries old.,been hard to root up,hard rooted out,been deeply rooted,No improvement,D,"""Root out"" is a phrasal verb meaning to eliminate something completely. The sentence is already correct."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Easy,MCQ,2,0.5,"It is raining heavily since morning, so the match was called off.",had been raining,has been raining,rained,No improvement,A,"Since the cancellation of the match is described in the past, the ongoing action before that point should be expressed in the Past Perfect Continuous Tense."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Easy,MCQ,2,0.5,She told me that she will go to Mumbai the next day.,would go,shall go,goes,No improvement,A,"In indirect speech, if the reporting verb is in the past tense, ""will"" changes to ""would."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Easy,MCQ,2,0.5,He is discrete while discussing confidential matters with clients.,discreet,desecrate,discrete choice,No improvement,A,"""Discrete"" means separate or distinct, whereas ""discreet"" means careful and tactful. The context requires ""discreet."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,You had better to consult a doctor before the condition worsens.,consult,consulting,consulted,No improvement,A,"Expressions such as ""had better,"" ""would rather,"" and ""let"" are followed by the bare infinitive without ""to."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The dynamic leader succeeded to capture the attention of the youth.,succeeded in capturing,succeeded to capturing,succeeded for capture,No improvement,A,"The verb ""succeed"" is followed by the preposition ""in,"" and the verb after a preposition takes the gerund form."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"When we reached the stadium, the players already started warming up.",already started,had already started,have already started,No improvement,B,"The action of warming up occurred before we reached the stadium, so the Past Perfect Tense is required."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"My brother does not smoke, nor he drinks.",nor does he drink,neither he drinks,nor he does drink,No improvement,A,"Clauses beginning with ""nor"" require inversion, where the auxiliary verb comes before the subject."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"If I was you, I would never accept such a demotion.",am you,had been you,were you,No improvement,C,"In hypothetical or unreal conditional sentences, ""were"" is used instead of ""was."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The scheme has lapsed due to lack of adequate government funding.,is lapsed,lapsed,was lapsed,No improvement,D,"The Present Perfect structure ""has lapsed"" is correctly used to indicate that the scheme has come to an end."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He denied to assist me in finishing the official paperwork.,refused to assist,denied assisting,refused assisting,No improvement,A,"""Refuse"" is followed by the infinitive form (to + verb) when declining a request. ""Deny"" is generally used to reject an accusation or admit not doing something."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,I lay in bed all day yesterday suffering from a severe migraine.,lied,laid,lain,No improvement,D,"The past tense of ""lie"" (to recline) is ""lay."" Since the sentence refers to yesterday, ""lay"" is correctly used."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Either the manager or his subordinates is responsible for this massive data breach.,are,was,has been,No improvement,A,"In structures using ""either...or"" and ""neither...nor,"" the verb agrees with the subject nearest to it. ""Subordinates"" is plural, so ""are"" is correct."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The furniture in this newly built apartment are made of high-quality teak wood.,were,is,have been,No improvement,B,"""Furniture"" is an uncountable noun and always takes a singular verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,One of the student from our batch has cleared the UPSC civil services exam.,students,student's,students',No improvement,A,"The correct structure is ""One of + plural noun + singular verb."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"Between you and I, I don't think this strategy will yield any profit.",me,myself,we,No improvement,A,"Pronouns following prepositions must be in the objective case. Therefore, ""me"" is correct after ""between."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Two-thirds of the book were ruined by the leakage in the roof.,was,are,have been,No improvement,A,"When a fraction refers to a singular or uncountable noun, it takes a singular verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Each of the participants were given a certificate of appreciation.,was given,are given,have been given,No improvement,A,"Expressions such as ""each of"" take singular verbs because they refer to individuals separately."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,This is the same laptop which my father gifted me on my birthday.,who,that,whom,No improvement,B,"After expressions such as ""the same,"" ""the only,"" and superlatives, the relative pronoun ""that"" is preferred."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Scarcely he had finished his speech when the audience broke into applause.,he finished,had he finished,did he finished,No improvement,B,Negative adverbs placed at the beginning of a sentence require inversion of the auxiliary verb and subject.
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The sceneries of Kashmir are absolutely breathtaking and mesmerizing.,scenery of Kashmir is,sceneries of Kashmir is,scenery of Kashmir are,No improvement,A,"""Scenery"" is an uncountable noun and does not have a plural form. It takes a singular verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He solved the mathematical puzzle more quicker than his classmate.,more quickly,quicker,much quickly,No improvement,A,"The verb ""solved"" should be modified by an adverb. The correct comparative form is ""more quickly."" Double comparatives such as ""more quicker"" are incorrect."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Whom do you think are going to win the man of the match award today?,Who,Whose,Which,No improvement,A,"The verb ""are going to win"" requires a subject pronoun. ""Who"" is used as a subject, whereas ""whom"" is used as an object."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Economics are considered a tough subject by many competitive exam aspirants.,is,were,have been,No improvement,A,"Names of subjects such as Economics, Mathematics, and Physics appear plural but are treated as singular and take singular verbs."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,It was him who stood by me during my financial crisis.,he,himself,his,No improvement,A,"After expressions like ""It is"" or ""It was,"" the pronoun should be in the subjective case. Therefore, ""he"" is correct."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,My sister-in-laws have invited us to celebrate the festival together.,sister-in-law's have,sisters-in-law have,sisters-in-laws have,No improvement,B,"In compound nouns, the principal word takes the plural form. Therefore, the plural of ""sister-in-law"" is ""sisters-in-law."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Neither of the two candidates were found suitable for the executive profile.,was,are,have been,No improvement,A,"""Neither of"" is treated as singular and therefore requires a singular verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The cattle is grazing peacefully in the green pasture down the valley.,are,was,has been,No improvement,A,"""Cattle"" is a collective noun used in a plural sense and always takes a plural verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The jury were unanimous in its final decision regarding the verdict.,was unanimous in their,was unanimous in its,were unanimous in their,No improvement,B,"When a collective noun acts as a single unit and expresses unanimity, it takes a singular verb and singular pronoun."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He behaves as if he knows everything about quantum astrophysics.,knew,had known,has known,No improvement,A,"""As if"" and ""as though"" expressing unreal situations are followed by the past subjunctive form."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,I bought two dozens bananas from the local street vendor.,dozen bananas,dozens banana,dozen banana,No improvement,A,"After definite numerals such as two, three, and four, words like dozen, hundred, and thousand remain singular, while the following noun remains plural."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,This is the boy whom I know saved the drowning child yesterday.,who,which,whose,No improvement,A,"The relative pronoun functions as the subject of the verb ""saved,"" so ""who"" is required instead of ""whom."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Five thousand rupees are a large sum for a poor laborer to arrange.,is,were,have been,No improvement,A,"A sum of money, distance, weight, or period considered as a single unit takes a singular verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Every student should submit their assignment before Friday evening.,his,there,our,No improvement,A,"""Every student"" is singular; therefore, according to traditional grammar rules, it should take a singular possessive pronoun."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The quality of these mangoes are not up to the export standards.,is,were,have been,No improvement,A,"The real subject of the sentence is ""The quality,"" which is singular and requires a singular verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He is one of those men who does not compromise on moral principles.,do,is doing,has done,No improvement,A,"The relative pronoun ""who"" refers to ""men,"" which is plural; therefore, the plural verb ""do"" should be used."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,My scissors is missing from the study table drawer.,are,was,has been,No improvement,A,"Nouns such as scissors, trousers, spectacles, and tongs are plural in form and take plural verbs. However, ""a pair of scissors"" takes a singular verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"Of the two smart variants, this smartphone is the best option.",better,most best,good,No improvement,A,"When comparing only two persons or things, the Comparative Degree is used. The Superlative Degree is used when comparing more than two."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He is enough wise to understand the cunning political trap.,wise enough,more wise enough,wisest enough,No improvement,A,"The adverb ""enough"" is placed after the adjective it modifies. Therefore, the correct structure is ""adjective + enough."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,She was so infuriated that she slammed the cabin door heavy.,heavily,heaviness,more heavy,No improvement,A,"The verb ""slammed"" should be modified by an adverb, not an adjective. Hence, ""heavily"" is the correct choice."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,This task is preferable than the one assigned to me last week.,preferable to,more preferable than,preferable over,No improvement,A,"The adjective ""preferable"" is followed by the preposition ""to,"" not ""than."" It should not be preceded by ""more."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The climate of Bengaluru is much better than Delhi.,than that of Delhi,than Delhi's climate,than those of Delhi,No improvement,A,"Comparisons should be made between similar entities. The climate of Bengaluru should be compared with the climate of Delhi, not with the city itself."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He ran as fastly as he could to catch the last metro train.,as fast as,so fastly as,fast enough as,No improvement,A,"""Fast"" functions as both an adjective and an adverb. The word ""fastly"" is incorrect in standard English."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,I cannot cope up with this tremendous working pressure anymore.,cope up,cope with,cope forward with,No improvement,B,"The correct idiomatic expression is ""cope with,"" which means to deal successfully with a difficult situation."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The aggressive dog was angry on the postman who entered the gate.,angry with,angry at,angry to,No improvement,A,"""Angry with"" is used when referring to a person, whereas ""angry at"" is generally used for situations or things."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He abstained from voting in the local municipal elections.,to vote,against voting,from to vote,No improvement,D,"The verb ""abstain"" is correctly followed by the preposition ""from"" and a gerund form of the verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,She is the most unique singer I have ever heard in live concerts.,a unique,most unique,very unique,No improvement,A,"Adjectives such as ""unique,"" ""perfect,"" and ""complete"" express absolute qualities and generally do not take comparative or superlative forms."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He has hardly some money left in his bank account after the premium payment.,hardly any,nearly some,hardly no,No improvement,A,"Words such as ""hardly,"" ""barely,"" and ""scarcely"" carry a negative sense and are followed by ""any,"" not ""some."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,No other metal is as useful than iron in heavy industrial manufacturing.,as useful as,more useful as,so useful than,No improvement,A,"The correct structure for positive degree comparison is ""as + adjective + as."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He is too intelligent that he cannot be fooled easily by online scammers.,so intelligent that he cannot,too intelligent to,intelligent enough that he cannot,No improvement,A,"The structure ""so + adjective + that + clause"" is used to express cause and result. ""Too...to"" requires an infinitive rather than a clause."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The dynamic young officer was invested with the power of magistrate.,in,by,for,No improvement,D,"The expression ""invested with"" means to formally confer authority, power, or responsibility upon someone. The sentence is grammatically correct."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"If I will go to Delhi, I will bring your books.",go,would go,went,No improvement,A,"In the First Conditional, the if-clause takes the Simple Present Tense, while the main clause takes the Simple Future Tense."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The standard of living in India is lower than England.,than that of England,than those of England,to England,No improvement,A,"The comparison is between the standard of living in India and the standard of living in England. ""That of"" avoids repetition of the singular noun."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Neither the principal nor the lecturers was present in the meeting.,were,is,have,No improvement,A,"In ""Neither...nor"" constructions, the verb agrees with the subject nearest to it. Since ""lecturers"" is plural, ""were"" is correct."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"He did not know how to solve the problem, and neither I did.",neither did I,neither I do,either did I,No improvement,A,"Negative agreement requires inversion after ""neither,"" placing the auxiliary verb before the subject."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The criminal was hung to death this morning.,hanged,hang,hanging,No improvement,A,"""Hanged"" is used when referring to execution by hanging, whereas ""hung"" is used for suspending objects."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,She is having a luxurious car and a big house in Mumbai.,has,owns had,possesses having,No improvement,A,Stative verbs expressing possession are generally not used in continuous forms.
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,My brother-in-laws who live in London have come to visit us.,brothers-in-law,brother-in-law's,brothers-in-laws,No improvement,A,"In compound nouns, the principal word takes the plural form."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,I am working on this research project since January.,have been working,was working,had worked,No improvement,A,"Since an action started in the past and continues to the present, the Present Perfect Continuous Tense is required."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,No sooner had he finished his speech when the audience started clapping.,than,then,before,No improvement,A,"""No sooner"" is always paired with ""than."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Many a students have failed the physical endurance test.,student has,students has,student have,No improvement,A,"""Many a"" is followed by a singular noun and a singular verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He is too weak that he cannot walk without support.,to,so that he cannot,so weak to,No improvement,A,"The correct structure is ""too + adjective + to + verb."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,She handles all tasks with carefully.,carefully,with care,with carefulness,No improvement,A,"The verb should be modified by an adverb. ""Carefully"" is the appropriate form."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,You must avail yourself of this golden opportunity.,avail of,avail yourself,avail to,No improvement,D,"The correct expression is ""avail oneself of,"" which requires a reflexive pronoun followed by ""of."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The weather of Mussoorie conduces for good health.,conduces to,conduces with,conduces at,No improvement,A,"The verb ""conduce"" is followed by the preposition ""to."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"Suppose if you are selected, which city would you prefer?",Suppose you are,If suppose you are,Supposing if you are,No improvement,A,"""Suppose"" and ""if"" convey the same meaning, so using both together is redundant."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He is the most cleverest boy in our class.,cleverest,more cleverer,most clever,No improvement,A,"""Cleverest"" is already a superlative form. Using ""most"" creates an incorrect double superlative."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The short-circuit caused a major damage to the server room.,major damage,major damages,a major damages,No improvement,A,"""Damage"" is an uncountable noun in this context and does not take the article ""a."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"Unless you do not apologize, you will be suspended.",apologize,will apologize,did not apologize,No improvement,A,"""Unless"" already implies negation, so an additional negative form is unnecessary."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,I bought two dozens bananas from the local vendor.,two dozen bananas,two dozen banana,two dozens banana,No improvement,A,"After definite numerals, words such as dozen, hundred, and thousand remain singular."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The manager disposed off the old files within an hour.,disposed of,dispose away,disposed with,No improvement,A,"The correct phrasal verb is ""dispose of,"" meaning to get rid of something."
